Portuguese,French,Italian,Spanish,Catalan,Provencal,Ladin,Sardinian,Romanian,German,Dutch,Afrikaans,English,Icelandic,Norwegian,Swedish,Faroese,Danish,Breton,Welsh,Irish,Bulgarian,Slovenian,Serbo-Croatian,Russian,Belarusian,Ukrainian,Czech,Slovak,Polish,Lithuanian,Latvian,Romani,Singhalese,Kashmiri,Khaskura,Nepali,Bengali,Lahnda,Panjabi,Hindi,Marathi,Gujarati,Pashto,Persian,Tajik,Baluchi,Albanian,Armenian,Greek,,Maranao,Mansaka,Hanunoo,Tagalog,Cebuano,,Javanese,Bali,Sasak,Sunda,Iban,Indonesian
GROSSO,EPAIS,SPESSO,ESPESO,GROS,ESPES,0,GRUSSU,GROS,DICK,DIK,DIK,THICK,THYKKR,TYKK,TJOCK,TJUKKUR,TYK,TEV,TRWCHUS,TIUGH,DEBELO,GOSTO,DEBEO,TOLSTYJ,TAWSTY,HRUBYJ,HUSTY,HRUBY,GRUBY,STORAS,BIEZS,THULO,MAHATA,MOTU,MOTO,KHASRO,MOTA,MOTA,GARA,MOTA,JAD,JARU,PEND,KOLOFT,WAFS,THULAR,TRASE,C AL,KHONDROS,,MAKAPAL,MADAKMEL,MADAMUL,MAKAPAL,BAGA,,KANDEL,TEBAL,TEBEL,KANDEL,TEBAL,TEBAL
DELGADO,MINCE,SOTTILE,DELGADO,FLACH,MINCE,STIGL,FINI,SUBTIRE,DUNN,DUN,DUN,THIN,THUNNR,TYNN,TUNN,TUNNUR,TYND,MOAN,TENAU,TANAI,TENKO,RETKO,TANAK,TONKIJ,CENKI,TONKYJ,TENKY,TENKY,CIENKI,PLONAS,TIEVS,KISLO,HINI,TONU,DUBLO,PATALO,PATLA,PETLA,PETLA,DUBLA,PATEL,PATLU,NARAJ,NAZOK,TUNUK,LAGHAR,HOLE,NOSR,LYANOS,,MANIPIS,MANIPIS,MANIPIS,MANIPIS,NIPIS,,TIPIS,TIPIS,TIPIS,IPIS,NIPIS,TIPIS
PENSAR,PENSER,PENSARE,PENSAR,DONAR PIENSO,PENSA,S IMPISSER,PENSAI,A,DENKEN,DENKEN,DINK,THINK,HUGSA,TENKE,TANKA,HUGSA,TAENKE,SONJAL,MEDDWL,SMAOINEAMH,MISLI,ZAMISLIT,MISLITI,DUMAT,DUMAC,MYSLYTY,MYSLETI,MYSLET,MYSLEC,GALVOTI,DOMAT,DWSINIRIM,HITANAWA,ZANUN,BICHAR GARNU,CITAUNU,BHABA,SOCAN,SOCNA,SOCNA,VATNE,VICARWU,FIKR KAVEL,FEKR KARDAN,FIKR KARDAN,ZANAGH,MEJTO,MTACEL,SKEFTOME,,IRAM,0,UMISIP,MAG ISIP,MAGHUNAHUNA,,MIKIR,MEKENEH,MIKIR,MIKIR,PIKIR,BERFIKIR
ESTE,CECI,QUESTO,ESTE,AQUEST,CO,QUAIST,KUSTU,ACEST,DIESER,DEZE,DIE,THIS,THESSI,DENNE,DENHAR,HETTA,DENNE,AN,HWN,SO,TOVA,TU,OVAJ,ETOT,HETA,CEJ,TO TENTO,TEN,TEN,SIS,SIS,KOVA,ME,ATH,YO,YO,ETA,E,E,YEH,HA,A,DA,IN,XAMIN,HAM ESH,KY,AYS,TUTOS,,INI,0,INDA,ITO,KINI,,IKI,ENE,SINE,IEU,TU,INI
TU,TU,TU,TU,TEU,TU,TU,TUI,TU,DU,GIJ,U,YOU,THU,DU,DU,TU,DU,TE,TI,TU,TI,TI,TI,TY,TY,TY,TY,TY,TY,TU,TU,TU,UMBA,TSAH,T,TA,TUMI,TU,TU,TU,TU,TU,TE,TO,TU,THAU,TI,DU,ESI,,KA,0,KAWU,IKAW,IKAW,,KOWE,CAI,ANTE,MANEH,NUAN,KAMU
TRES,TROIS,TRE,TRES,TRES,TRES,TRAIS,TRESI,TREI,DREI,DRIE,DRIE,THREE,THRIR,TRE,TRE,TRIGGIR,TRE,TRI,TRI,TRI,TRI,TRI,TRI,TRI,TRY,TRY,TRI,TRI,TRZY,TRYS,TRIS,TRIN,TUNA,TREH,TIN,TIN,TIN,TRAE,TINN,TIN,TIN,TRAN,DRE,SE,SE,SAI,TRI,EREK,TRIA,,TELO,TURU,TULU,TATLO,TULO,,TELU,TELU,TELU,TILU,TIGA,TIGA
LANCAR,JETER,GETTARE,ECHAR,LLANSAR,JITA,BUTTER,GETTAI,LANSA,WERFEN,WERPEN,GOOI,THROW,KASTA,KASTE,KASTA,KASTA,KASTE,TEUREL,TAFLU,CAITHEAMH,XVERLJA,VRZI,BACITI,BROSAT,KIDAC,KYDATY,HAZETI,DODIT,RZUCAC,MESTI,MEST,CHAV,VISI,TSHUNUN,PHALNU,APHALNU,PHELA,SUTTEN,SUTTENA,PHEKNA,PHEKNE,NAKHWU,ACAVEL,ANDAKHTAN,PARTOFTAN,PHIRENAGH,ETH,GC EL,RIKHNO,,ITOG,TIMBAG,PISIK,IBATO,ILABAY,,NGUWAN,NYLABATANG,NELADEK,MALEDOGKEUN,TIKAU,MELEMPARKAN
ATAR,LIER,LEGARE,ATAR,UNIR,LIA,LIER,AKKAPPIAI,A LEGA,BINDEN,BINDEN,VASMAAK,TIE,BINDA,BINDE,BINDA,BINDA,BINDE,SKOULMAN,CLYMU,CEANGAL,VREZVA,ZVEZI,VEZATI,VJAZAT,VJAZAC,ZV JAZUVATY,VAZATI,VIAZAT,WIAZAC,RISTI,SIET,PHANDAV,BANDINAWA,GANDUN,KASNU,GATHNU,BADHA,BENNEN,BENNENA,BADHNA,BANDHNE,BAHDHWU,TAREL,BASTAN,BASTAN,BANDAGH,LITH,PAT AT EL,DHENO,,IKET,QEKET,HIGUT,TALIAN,IHUKOT,,NALENI,NEGUL,NENALIQ,MEUNGKEUT,KEBAT,MENGIKAT
LINGUA,LANGUE,LINGUA,LENGUA,LLENGUA,LENGO,LAUNGIA,LINGUA,LIMBA,ZUNGE,TONG,TONG,TONGUE,TUNGA,TUNGE,TUNGA,TUNGA,TUNGE,TEOD,TAFOD,TEANGA,EZIK,JEZIK,JEZIK,JAZYK,JAZYK,JAZYK,JAZYK,JAZYK,JEZYK,LIEZUVIS,MELE,CHIP,DIVA,ZEV,JIBRO,JIBRO,JIB,JIBH,JIB,JIBH,JIBH,JIB,ZEBA,ZABAN,ZABON,ZAWAN,GUE,LEZU,GHLOSA,,DILAQ,DILAQ,DILA,DILA,DILA,,ILAT,LAYAH,ELAQ,LETAH,DILAH,LIDAH
DENTE,DENT,DENTE,DIENTE,DENT,DENT,DAINT,DENTI,DINTE,ZAHN,TAND,TAND,TOOTH,TONN,TANN,TAND,TONN,TAND,DANT,DANT,FIACAL,ZEB,OD NAPREJ ZOBY,ZUB,ZUB,ZUB,ZUB,ZUB,ZUB,ZAB,DANTIS,ZOBS,DANT,DATA,DAND,DANT,DAT,DAT,DEND,DEND,DAT,DAT,DAT,GAS,DANDAN,DANDON,DATHAN,DHEMP,ATAM,DHONDI,,NIPEN,QUNTU,NIPUN,NGIPIN,NGIPON,,UNTU,GIGI,GIGI,HUNTU,NELI,GIGI
ARVORE,ARBRE,ALBERO,ARBOL,ARBRE,AUBRE,BOS,MATTA,ARBORE,BAUM,BOOM,BOOM,TREE,TRE,TRE,TRAD,TRAE,TRAE,GWEZENN,COEDEN,CRANN,DERVO,DREV,DRVO,DEREVO,DREVA,DEREVO,STROM,STROM,DRZEWO,MEDIS,KOKS,KOPAC,GASA,KULU,RUKH,GACH,GAC,DREXT,DEREKHET,PER,JHAD,JHAR,VENA,DERAKHT,DARAXT,DRASHK,PEME,CAR,DHENDRO,,0,0,0,PUNO,KAHOY,,0,0,0,TANGKAL,0,POKOK
VIRAR,TOURNER,GIRARE,VOLVER,TORNAR,VIRA,GIRER,FURRIAI,A VIRA,WENDEN,WENDEN,OMDRAAI,TURN,SNUA,SNU,VANDA PA,SNUGVA,VENDE SIG,TREIN,TROI,CASADH,SE VERTI,ABRNI SE,OKRENUTI SE,POVORACIVAT,PAVORACYVAC,OBERTATYS,TOCITI,OBRACAT,ZAWRACAC,KRYPTI,PAGRIEZT,BOLDEL,HARENAWA,0,PHARKNU,PHARKANU,GHORA,ULTAWEN,MORNA,MURNA,VELNE,FERWU,GERZEDEL,PICHIDAN,GARDONDAN,0,KTHENEM,TARNEL,STRIVO,,TINER,SIGENG,SIMAN,LUMIKO,MOLIKO,,MENGGOK,BELOK,BILUK,MENGKOL,BILOK ,BELOK
DOUS,DEUX,DUE,DOS,DOS,DOUS,DUOS,DUSU,DOI,ZWEI,TWEE,TWEE,TWO,TVEIR,TO,TVA,TVEIR,TO,DAOU,DAU,DO,DVE,DUA,DVA,DVA,DVA,DVA,DVA,DVA,DWA,DU,DIVI,DUI,DEKA,ZAH,DUITA,DUI,DUI,DU,DO,DO,DON,BE,DVA,DO,DU,DO,DY,ERKU,DHIO,,DOA,DUWA,DUWA,DALAWA,DUHA,,LORO,DADUA,DUE,DUA,DUA,DUA
VOMITAR,VOMIR,VOMITARE,VOMITAR,TRAURER,BOUMI,VOMITER,VOMITAI,A VOMITA,ASUBRECHEN,BRAKEN,BRAAK,VOMIT,KASTA UPP,KASTE OPP,KRAKAS,SPYGGJA,KASTE OP,DISLONKAN,CYFOGI,CAITHEAMH AMACH,POVERNE,KOZLAT,POVRACATI,RVAT,VYRACAC,BLJUVATY,ZVRACETI,VYVRAVAT,WYMIOTOWAC,VEMTI,VEMT,CHADAMAN,VAMARANAWA,WAMUN,CHHADNU,UGELNU,BOMI,ULTI KEREN,KE,ULTI,OKNE,ULTI KERWI,KANGI KAVEL,ESTEFRAG KARDAN,KANDAN,UCHALNA,VIEL,P XCKAL,KANO ANAGHULA,,GOAQ,SUKAQ,SUMUKA,SUMUKA,MOSUKA,,MUTAH,NGUTAH,NUTAQ,UTAH,MUTAH,MUNTAH
ANDAR,MARCHER,CAMMINARE,PASEAR,ANAR,MARCHA,CHAMINER,PASSILLAI,A SE PLIMBA,GEHEN,WANDELEN,LOOP,WALK,GANGA,GA,GA TILL FOTS,GANGA,GAA,KERZHOUT,CERDDED,SIUBHAL,VERVI,HODIT,SETATI,XODIT,SPACYRAVAC,XODYTY,PROCHAZETI SE,CHODIT,CHODZIC,VAIKSCIOTI,IET,PIRAV,AVIDINAWA,PAKUN,DULNU,HIRNU,HATA,TUREN,TURNA,CELNA,CELNE,CALWU,TLEL,RAH RAFTAN,RAFTAN,JUZAGH,ECEN,MAN GAL,PERPATO,,LALAKAW,PANAW,LUMAKAW,LUMAKAD,MOLAKAW,,MLAKU,MAJALAN,LAMPAQ,LEUMPANG,JALAI,BERJALAN
QUENTE,CHAUD,CALDO,CALIENTE,CALENT,CAUD,CHOD,KALLENTI,CALD,WARM,WARM,WARM,WARM,HLYR,VARM,VARM,HEITUR,VARM,TOMM,TWYM,BROTHALLACH,TOPLO,GORKO,TOPLO,TEPLYJ,CEPLY,TEPLYJ,TEPLY,TEPLY,CIEPLY,SILTAS,SILTS,TATO,RASNE,WUSHUNU,MANTATO,NIYANU,GOROM,GERMI,GEREM,GEREM,GEREM,GEREM,TOD,GARM,GARM,GARM,NGROTE,TOT,ZESTOS,,MALIPOQOT,MAPASUQ,MAINIT,MAINIT,INIT,,PANAS,PANES,PANAS,PANAS,PANAS,PANAS
LAVAR,LAVER,LAVARE,LAVAR,RENTAR,LAVA,LAVER,SAKKUAI,A,WASCHEN,WASSCHEN,WAS,WASH,THVO,VASKE,TVATTA,TVAA,VASKE,GWALCHIN,GOLCHI,NIGHE,MIE,PRAT,PRATI,MYT,MYC,MYTYSJA,MYTI,MYT,MYC,MAZGOTI,MAZGAT,XALAVAV,SODANAWA,CHALUN,0,DHUNU,DHOA,DHOWEN,TONA,DHONA,DHUNE,DHOWU,MINDZEL,SHOSTAN,MUSTAN,SHODHAGH,LHAN,LVANAL,PLENO,,0,0,0,HUGAS,0,,0,0,0,NGUMBAH,0,MENCUCI
AGUA,EAU,ACQUA,AGUA,AYGUA,AIGO,OVA,AKKUA,APA,WASSER,WATER,WATER,WATER,VATN,VANN,VATTEN,VATN,VAND,DOUR,DWR,UISGE,VODA,VODA,VODA,VODA,VADA,VODA,VODA,VODA,WODA,VANDUO,UDENS,PAI,WATURA,PONU,PANI,PANI,JOL,PANI,PANI,PANI,PANI,PANI,OBE,AB,OB,AF,UJE,JUR,NERO,,IG,TUBIG,DANUM,TUBIG,TUBIG,,BANU,YEH,AIQ,CAI,AI,AIR
NOS,NOUS,NOI,NOSOTROS,NOSALTRES,NOUS,NUS,NOSUS,NOI,WIR,WIJ,ONS,WE,VIO,VI,VI,VIT,VI,NI,NI,SINN,NIE,MI,MI,MY,MY,MY,MY,MY,MY,MES,MES,AMEN,API,ASI,HAMIHARU,HAMI,AMRA,ESSA,ESI,HEM,AMHI,EHME,MUZ,MA,MO,MA,NEVE,MENK,EMIS,,KITA,0,KITA,KAMI,KAMI,,AKU KABEH,IRAGA,ITE,URANG,KITAI,KITA
MOLHADO,MOUILLE,BAGNATO,MOJADO,MULLADA,MUIA,BLETSCH,SFUSTU,UD,NASS,NAT,NAT,WET,VOTUR,VAT,VAT,VATUR,VAAD,GLEB,GWLYB,FLIUCH,MOKRO,MAKRO,MOKAR,MOKRYJ,MOKRY,MOKRYJ,MOKRY,MOKRY,MOKRY,SLAPIAS,SLAPS,KINGO,TETA,ODURU,CHILO,CISO,BHIJA,SINNA,GILLA,BHIGA,OLA,BHIHNU,LUND,TAR,TAR,THAR,LHAGURI,XONAW,OGHROS,,BASAQ,BASAQ,TUPUS,BASA,BASAE,,TELES,BESEG,BASAQ,BASEUH,BASAH,BASAH
QUE,QUE,CHE,QUE,QUIN,QUE,CHE,ITTA,CE,WAS,WAT,WAT,WHAT,HVAO,HVAD,VAD,HVAT,HVAD,PETRA,BETH,CAD,KAKVO,KAY,STO,CTO,STO,SCO,CO,CO,CO,KAS,KAS,SO,MOKADA,KYAH,KYA,KE,KI,KE,KI,KYA,KAY,SU,CE,CHE,CI,KITHAN,CE,INC,TI,,AI,NANA,HINTAY,ANO,UNSA,,APA,APA,APE,NAON,APA,APA
QUANDO,QUAND,QUANDO,CUANDO,QUANT,QUAND,CUR,KANDU,CIND,WANN,WANNEER,WANNEER,WHEN,HVENAER,NAR,NAR,NAER,HVORNAAR,PEUR,PRYD,CATHAIN,KOGA,KEDAJ,KADA,KOGDA,KALI,KOLY,KDY,KEDY,KIEDY,KADA,KAD,KANA,KOI,KAR,KAILE,KABA,KOKHON,KERE WELE,KED,KEB,KEVHA,RYARE,KELA,KEY,KAJ,KHADHE,KUR,ERB,POTE,,AI,KANU,KAPIRA,KAILAN,KANUSA,,KAPAN,PIDAN,PIRAN,IRAHA,KEMAIA,KAPAN
ONDE,OU,DOVE,DONDE,AHONT,OUNTE,INUA,AUNDI,UNDE,WO,WAAR,WAAR,WHERE,HVAR,HVOR,VAR,HVAR,HVOR,PELEC H,LLE,CA,KEDE,KJE,GDE,GDE,DZE,DE KUDY,KDE,KDE,GDZIE,KUR,KUR,KAY,KOTANADA,KATI,KAHAN,KAHA,KOTHAE,KITTHA,KITTHE,KEHA,KUTHE,RYA,CIRI,KOJA,KUCO,THANGO,KU,UR,PU,,ANDA,WAQIN,NAAN,SAAN,ASA,,ANA NENDI,DIJA,LEQ EMBE,DIMANA,NI,DIMANA
BRANCO,BLANC,BIANCO,BLANCO,BLANCH,BLANC,ALV,BIANKU,ALB,WEISS,WIT,WIT,WHITE,HVITR,HVIT,VIT,HVITUR,HVID,GWENN,GWYN,BAN,BJALO,KELO,BELO,BELYJ,BELY,BILYJ,BILY,BIELY,BIALY,BALTAS,BALTS,PARNO,SUDU,CHOTU,SETO,SETO,SADA,SEFED,CITTA,SEPHED,SEPHET,SEFED,SPIN,SEFID,SAFED,SWETH,IBARDHE,SPITAK,ASPROS,,MAPOTIQ,MAPUTIQ,ABUKAY,PUTI,PUTI,,PUTIH,PUTIH,PUTIQ,BODAS,BURAK,PUTIH
QUEM,QUI,CHI,QUIEN,QUI,QUE,CHI,KINI,CINE,WER,WIE,WIE,WHO,HVER,HVEM,VEM,HVOR,HVEM,PIV,PWY,CIA,KOJ,KEDU,TKO,KTO,XTO,XTO,KDO,KTO,KTO,KAS,KAS,KON,KAVUDA,KYAH,KO,KUN,KE,KON,KON,KON,KON,KON,COK,KI,KI,KITHAN,KUS,OV,PYOS,,ANTAI,SINI,SINTAY,SINO,KINSA,,SAPA,NYEN,SAI,SAHA,SAPA,SIAPA
LARGO,LARGE,LARGO,ANCHO,AMPLE,LARG,LARG,LARGU,LARG,BREIT,WIJD,WYDE,WIDE,VIOR,VID,VID,VIDUR,BRED,LEDAN,LLYDAN,LEATHAN,SIROKO,SROKO,SIROK,SIROKIJ,SYROKI,SYROKYJ,SIROKY,SIROKY,SZEROKI,PLATUS,PLATS,BULO,PALAL,KHULA,GAJILO,CAURO,COORA,CORA,CORA,CORA,RUNDE,POHLU,PRAX,GOSHAD,VASE,PRAH,I GERE,LAYN ENDARJAK,PLATIS,,MABELAN,MARAKBANG,DAKA,MALAPAD,LAPAD,,AMBA,LINGGAH,GALUH,RUBAK,LUAS,LEBAR
MULHER CASADA,FEMME,MOGLIE,ESPOSA,MULLER,MOUIE,MUGLIER,MULLERI,SOTIE,FRAU,HUISVROUW,VROU,WIFE,KONA,KONE,HUSTRU,KONA,KONE,GWREG,GWRAIG,BEAN,SEPRUGA,ZENA,ZENA,ZENA,ZONKA,DRUZYNA,MANZELKA,MANZELKA,ZONA,ZMONA,SIEVA,ROMNI,BIRIYA,KOLAY,SWASHNI,AIMAI,BOU,KWAR,VOTTI,PETNI,BAYKO,PETNI,SEDZA,ZAN,ZAN,ZAL,GRUA,KIN,YINEKA,,KAWIN,QASAWA,ASAWA,ASAWANG BABAE,ASAWA,,BOJO,KURENAN,SENINE,PAMAJIKAN,BINI,ISTERI
VENTO,VENT,VENTO,VIENTO,VENT,VENT,SOFFEL,BENTU,VINT,WIND,WIND,WIND,WIND,VINDR,VIND,VIND,VINDUR,VIND,AVEL,GWYNT,GAOTH,VJATER,SAPA,VETAR,VETER,VECER,VITER,VITR,VIETOR,WIATR,VEJAS,VEJS,BALVAL,SULANGA,WAV,BATAS,BATAS,BAIU,HEWA,VA,VAYU,HEVA,PEWEN,BAD,BAD,SAMOL,GO,ERE,HOLM,AERAS,,ANIN,SAMET,ARAHAY,HANGIN,HANGIN,,BARAT,ANGIN,ANIN,ANGIN,ANIN,ANGIN
AZA,AILE,ALA,ALA,FILA,ALO,ELA,ALA,ARIPA,FLUGEL,VLEUGEL,VLEUEL,WING,VAENGR,VINGE,VINGE,VONGUR,VINGE,ASKELL,ADEN,SGIATHAN,KRILO,KRELUTA,KRILO,KRYLO,KRYLO,KRYLO,KRIDLO,KRIDLO,SKRYDLO,SPARNAS,SPARNS,PHAK,TATTA,PAKH,0,PWAKH,PAKHA,PER,PER,PENKH,PENKHE,PAKH,VAZAR,PAR,BOL,PHAR,KRA,T EW,FTERUGHA,,PAPAK,PANID,PAKPAK,PAKPAK,PAKOE,,SWIWI,KAMPID,KELETEK,JANGJANG,SAYAP,SAYAP
ALIMPAR,ESSUYER,ASCIUGARE,LIMPIAR,NETEJAR,EISSUGA,TERDSCHER,SPRUINAI,A STERGE,WISCHEN,VEGEN,AFDROE,WIPE,THURRKA,TORKE,TORKA,TURKA,TORRE,SEC HAN,SYCHU,CUIMILT,IZTRIVANE,ABRESI,OBRISAC,VYTIRAT,VYCIRAC,ZYRATY,UTIRATI,UTRET,WYCIERAC,SLUOSTYTI,SLAUCIT,SULAVAV,PIHADANAWA,WOTHARUN,POCHHNU,PUCHNU,POCHA,SAF KEREN,PUJNA,MITANA,PUSNE,LUCHWU,VUCAVEL,PAK KARDAN,POK KARDAN,0,FSI,MAK REL,SFONGIZO,,0,0,0,0,0,,0,0,0,NYAPUKEUN,0,MELAP
COM,AVEC,CON,CON,AB,EME,CUN,KUN,CU,MIT,MET,MET,WITH,MEO,MED,MED,VID,MED,GANT,GYDA,LE,S,ZMONO,SA,S,Z,Z,S,S,Z,SU,AR,BARABERI,SAMAGA,SUTY,SITA,SANA,SATH,NAL,NAL,SATH,BEROBER,SATHE,DE,BA,AZ,GO,ME,HET,ME,,0,0,0,KASAMA,UBAN,,0,0,0,JEUNG,0,DENGAN
MULHER,FEMME,DONNA,MUJER,DONA,FEMO,DUONNA,FEMMINA,FEMEIE,WEIB,VROUW,VROU,WOMAN,KONA,DAME,KVINNA,KONA,KVINDE,MAOUEZ,BENYW,BEAN,ZENA,ZENSKA,ZENA,ZENSCINA,ZANCYNA,ZINKA,ZENA,ZENA,KOBIETA,MOTERISKE,SIEVIETE,ZHUULYI,GANI,ZANANA,AIMAI,AIMAI,MEELOK,TRIMMET,ORET,ORET,BAI,STRI,SEDZA,ZAN,ZAN,ZAL,GRUA,KIN,YINEKA,,BEBAY,BUBAY,BABAYI,BABAE,BABAYE,,WADON,LUH,NINE,AWEWE,INDU,PEREMPUAN
SELVA,BOIS,BOSCO,BOSQUE,BOSCH,FOUREST,GOD,BOSKU,PADURE,WALD,BOSCH,BOS,WOODS,SKOGR,SKOG,SKOG,SKOG,SKOV,KOAD,GALLT,COILLTE,GORA,DOVO,SUMA,LES,LES,LIS,LES,LES,LAS,MISKAS,MEZA,0,KALE,WAN,BAN,BAN,JONGOL,JENGEL,JENGEL,JENGEL,JENGEL,JENGEE,DZANGAL,JANGAL,CANGAL,LADH,KORIE,ANTAR,DHASOS,,KALASAN,KAGURANGAN,PURU,GUBAT,LASANG,,ALAS,ALAS,GAWAH,LEUWEUNG,KAMPON,HUTAN
BICHO,VER,VERME,GUSANO,CUCH,VERME,VERM,BREMI,VIERME,WURM,WORM,WURM,WORM,MAOKR,MARK,MASK,MADKUR,ORM,PRENV,MWYDYN,PEIST,CERVEJ,GLISTA,CRV,CERV,CARVJAK,CERV JAK,CERV,CERV,ROBAK,SLIEKAS,TARPS,KERMO,PANUWA,KIRM,0,KIRO,POKA,KIRA,KIRA,KIRA,KIDA,KIRO,KIRM,KERM,KIRM,KIRM,GELHISTER,ORD,SKULIKI,,KALALANOQAN,KAREG,ALUKATI,BULATE,WATI,,CACIN,CACING,LONE,CACIN,ULAT,CACING
VOS,VOUS,VOI,VOSOTROS,VOSALTRES,VOUS,VUS,BOSATRUS,VOI,IHR,JULLIE,JULLE,YOU,THIO,DERE,I,TIT,I,CHWI,CHWI,SIBH,VIE,JE,VI,VY,VY,TY,VY,VY,WY,JUS,JUS,TUMEN,UMBALA,TOHI,TIMIHARU,TIMIHARU,TUMI,TUSSA,TUSI,TUM,TUMHI,TEME,TASI,SHOMA,SUMO,SHA,JURE,DUK,TULOGHUSAS,,KANO,0,KAMU,IKAW,IKAW,,KOWE KABEH,CAI AJAK MEKEJANG,ANTE SELAP,MARANEH,KITA,KALIAN
ANNO,AN,ANNO,ANO,ANY,AN,AN,ANNU,AN,JAHR,JAAR,JAAR,YEAR,AR,AR,AR,AR,AAR,BLOAZ,BLWYDDYN,BLIADHAIN,GODINA,LETO,GODINA,GOD,HOD,RIK,ROK,ROK,ROK,METAI,GADS,BRES,AVURUDDA,WAHAR,SAL,BARSA,BOTSOR,SAL,SAL,SAL,VERSE,VERES,KAL,SAL,SOL,SAL,VIT,TARI,KHRONOS,,RAGON,TUQIG,ABAGAT,TAON,TUIG,,TAHUN,TIBAN,TAUN,TAUN,TAUN,TAHUN
AMARELLO,JAUNE,GIALLO,AMARILLO,GROCH,JAUNE,MELLEN,GROGU,GALBEN,GELB,GEEL,GEEL,YELLOW,GULR,GUL,GUL,GULUR,GULT,MELEN,MELYN,BUIDHE,ZELTO,NUMENO,ZUT,ZELTYJ,ZOWTY,ZOVTYJ,ZLUTY,ZLTY,ZOLTY,GELTONAS,DZELTENS,SARI,KAHA,LEDORU,PAHILO,PAHELO,HOLDE,PILA,PILLA,PILA,PIVLA,PILU,ZER,ZARD,ZARD,ZARD,I VERDHE,DELIN,KITRINOS,,DOLAW,BINANING,DILAW,DILAW,DALAG,,KUNIN,KUNING,KONIN,KONENG,KUNIN,KUNING
